"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Feed","2026-03-24 18:35",,,"Formula","Bottle","3oz",
"Feed","2026-03-24 17:10",,,"Formula","Bottle","3oz",
"Diaper","2026-03-24 17:00",,,,,"Pee:large",
"Meds","2026-03-24 14:57",,,"0.3ml","Mylicon",,
"Diaper","2026-03-24 14:56",,,,,"Pee:large",
"Feed","2026-03-24 14:47",,,"Formula","Bottle","3oz",
"Feed","2026-03-24 12:10",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-24 12:00",,,,,"Pee:large",
"Meds","2026-03-24 10:20",,,"1drops","Vitamin D",,
"Meds","2026-03-24 10:20",,,"0.3ml","Mylicon",,
"Feed","2026-03-24 10:00",,,"Formula","Bottle","3oz",
"Diaper","2026-03-24 09:52",,,,,"Pee:large",
"Diaper","2026-03-24 07:33",,,,,"Pee",
"Feed","2026-03-24 06:44",,,"Formula","Bottle","3oz",
"Diaper","2026-03-24 04:00",,,,,"Poo:medium",
"Feed","2026-03-24 03:35",,,"Formula","Bottle","3oz",
"Diaper","2026-03-24 03:30",,,,,"Pee",
"Feed","2026-03-23 22:45",,,"Formula","Bottle","3oz",
"Meds","2026-03-23 22:40",,,"0.3ml","Mylicon",,
"Diaper","2026-03-23 22:30",,,,,"Pee",
"Feed","2026-03-23 19:50",,,"Formula","Bottle","3oz",
"Diaper","2026-03-23 19:40",,"brown","Loose",,"Both, pee:small poo:large",
"Feed","2026-03-23 17:40",,,"Formula","Bottle","1.5oz",
"Diaper","2026-03-23 16:58",,,,,"Pee:large",
"Feed","2026-03-23 16:35",,,"Formula","Bottle","2.75oz",
"Feed","2026-03-23 14:38",,,"Formula","Bottle","3oz",
"Meds","2026-03-23 14:35",,,"0.3ml","Mylicon",,
"Diaper","2026-03-23 14:35",,,,,"Pee:large",
"Feed","2026-03-23 11:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-23 11:28",,,,,"Pee:large",
"Feed","2026-03-23 09:00",,,"Formula","Bottle","1.5oz",
"Diaper","2026-03-23 08:59",,,,,"Pee:large",
"Meds","2026-03-23 08:55",,,"0.3ml","Mylicon",,
"Diaper","2026-03-23 07:24",,,,,"Pee:large",
"Feed","2026-03-23 06:47",,,"Formula","Bottle","2.5oz",
"Feed","2026-03-23 03:30",,,"Formula","Bottle","3oz",
"Diaper","2026-03-23 03:23",,,,,"Pee:medium",
"Feed","2026-03-22 22:31",,,"Formula","Bottle","3oz",
"Diaper","2026-03-22 22:25",,"brown","Loose",,"Both, pee:large poo:small",
"Diaper","2026-03-22 20:20",,"brown","Loose",,"Poo:large",
"Feed","2026-03-22 19:47",,,"Formula","Bottle","3oz",
"Meds","2026-03-22 19:43",,,"0.3ml","Mylicon",,
"Diaper","2026-03-22 19:40",,,,,"Pee:large",
"Feed","2026-03-22 16:55",,,"Formula","Bottle","1.5oz",
"Diaper","2026-03-22 16:50",,"brown","Loose",,"Both, pee:medium poo:large",
"Feed","2026-03-22 16:10",,,"Formula","Bottle","2oz",
"Feed","2026-03-22 13:24",,,"Formula","Bottle","2oz",
"Diaper","2026-03-22 13:13",,,,,"Pee:large",
"Feed","2026-03-22 11:50",,,"Formula","Bottle","2oz",
"Meds","2026-03-22 10:39",,,"0.3ml","Mylicon",,
"Feed","2026-03-22 10:30",,,"Formula","Bottle","2oz",
"Diaper","2026-03-22 10:19",,,,,"Pee:large",
"Meds","2026-03-22 08:50",,,"1drops","Vitamin D",,
"Feed","2026-03-22 08:50",,,"Formula","Bottle","2.25oz",
"Diaper","2026-03-22 08:35",,,,,"Pee:large",
"Diaper","2026-03-22 06:22",,,,,"Pee:medium",
"Feed","2026-03-22 05:51",,,"Formula","Bottle","3oz",
"Feed","2026-03-22 02:00",,,"Formula","Bottle","3oz",
"Diaper","2026-03-22 01:55",,,,,"Pee:medium",
"Feed","2026-03-21 21:45",,,"Formula","Bottle","3oz",
"Meds","2026-03-21 21:44",,,"0.3ml","Mylicon",,
"Diaper","2026-03-21 21:35",,,,,"Pee:large",
"Feed","2026-03-21 19:24",,,"Formula","Bottle","2oz",
"Diaper","2026-03-21 19:01",,,,,"Pee:small",
"Feed","2026-03-21 18:40",,,"Formula","Bottle","1oz",
"Diaper","2026-03-21 18:30",,,,,"Pee:large",
"Feed","2026-03-21 17:07",,,"Formula","Bottle","2oz",
"Meds","2026-03-21 17:00",,,"0.3ml","Mylicon",,
"Feed","2026-03-21 15:40",,,"Formula","Bottle","1.5oz",
"Diaper","2026-03-21 15:30",,"brown","Solid",,"Both, pee:medium poo:small",
"Feed","2026-03-21 13:30",,,"Formula","Bottle","2.75oz",
"Diaper","2026-03-21 10:58",,"brown","Solid",,"Both, pee:small poo:large",
"Meds","2026-03-21 10:30",,,"1drops","Vitamin D",,
"Feed","2026-03-21 10:30",,,"Formula","Bottle","2.5oz",
"Meds","2026-03-21 10:25",,,"0.3ml","Mylicon",,
"Diaper","2026-03-21 09:31",,,,,"Pee:large",
"Feed","2026-03-21 07:55",,,"Formula","Bottle","2oz",
"Diaper","2026-03-21 05:00",,,,,"Pee:large",
"Feed","2026-03-21 05:00",,,"Formula","Bottle","3oz",
"Feed","2026-03-21 00:30",,,"Formula","Bottle","4oz",
"Meds","2026-03-21 00:29",,,"0.3ml","Mylicon",,
"Diaper","2026-03-21 00:24",,,,,"Pee:large",
"Feed","2026-03-20 19:40",,,"Formula","Bottle","3oz",
"Feed","2026-03-20 18:00",,,"Formula","Bottle","0.5oz",
"Feed","2026-03-20 17:46",,,"Formula","Bottle","1oz",
"Diaper","2026-03-20 17:25",,,,,"Pee:large",
"Feed","2026-03-20 16:40",,,"Formula","Bottle","2oz",
"Meds","2026-03-20 16:04",,,"0.3ml","Mylicon",,
"Feed","2026-03-20 14:53",,,"Formula","Bottle","2oz",
"Feed","2026-03-20 14:28",,,"Formula","Bottle","0.5oz",
"Diaper","2026-03-20 13:15",,,,,"Pee:medium",
"Feed","2026-03-20 12:30",,,"Formula","Bottle","2.5oz",
"Feed","2026-03-20 09:53",,,"Formula","Bottle","3oz",
"Meds","2026-03-20 09:32",,,"0.3ml","Mylicon",,
"Diaper","2026-03-20 07:35",,"yellow","Loose",,"Both, pee:large poo:large",
"Feed","2026-03-20 06:51",,,"Formula","Bottle","3oz",
"Diaper","2026-03-20 04:01",,,,,"Pee:medium",
"Feed","2026-03-20 03:30",,,"Formula","Bottle","2.5oz",
"Feed","2026-03-19 22:48",,,"Formula","Bottle","3oz",
"Meds","2026-03-19 22:40",,,"0.3ml","Mylicon",,
"Diaper","2026-03-19 22:30",,,,,"Pee:large",
"Feed","2026-03-19 19:11",,,"Formula","Bottle","3oz",
"Diaper","2026-03-19 17:08",,,,,"Pee:large",
"Feed","2026-03-19 16:04",,,"Formula","Bottle","2.25oz",
"Feed","2026-03-19 13:49",,,"Formula","Bottle","1oz",
"Diaper","2026-03-19 13:03",,,,,"Pee:large",
"Feed","2026-03-19 12:38",,,"Formula","Bottle","3oz",
"Diaper","2026-03-19 10:04",,,,,"Pee:large",
"Feed","2026-03-19 09:39",,,"Formula","Bottle","3oz",
"Meds","2026-03-19 09:09",,,"0.3ml","Mylicon",,
"Diaper","2026-03-19 07:29",,"yellow","Loose",,"Poo:medium",
"Feed","2026-03-19 06:50",,,"Formula","Bottle","3oz",
"Diaper","2026-03-19 03:39",,"yellow","Loose",,"Poo:large",
"Feed","2026-03-19 03:18",,,"Formula","Bottle","3oz",
"Diaper","2026-03-19 03:04",,,,,"Pee:medium",
"Feed","2026-03-18 22:31",,,"Formula","Bottle","3oz",
"Meds","2026-03-18 22:25",,,"0.3ml","Mylicon",,
"Diaper","2026-03-18 22:20",,,,,"Pee:small",
"Feed","2026-03-18 20:00",,,"Formula","Bottle","1.5oz",
"Diaper","2026-03-18 19:20",,,,,"Pee:medium",
"Diaper","2026-03-18 18:02",,,,,"Pee:large",
"Feed","2026-03-18 18:00",,,"Formula","Bottle","3oz",
"Feed","2026-03-18 15:17",,,"Formula","Bottle","1oz",
"Meds","2026-03-18 15:16",,,"0.3ml","Mylicon",,
"Diaper","2026-03-18 15:16",,,,,"Pee:medium",
"Feed","2026-03-18 14:45",,,"Formula","Bottle","3oz",
"Diaper","2026-03-18 12:26",,,,,"Pee:large",
"Feed","2026-03-18 12:02",,,"Formula","Bottle","3oz",
"Meds","2026-03-18 09:35",,,"0.3ml","Mylicon",,
"Feed","2026-03-18 09:26",,,"Formula","Bottle","3oz",
"Diaper","2026-03-18 09:20",,,,,"Pee:large",
"Feed","2026-03-18 07:53",,,"Formula","Bottle","0.5oz",
"Diaper","2026-03-18 07:14",,"yellow","Loose",,"Both, pee:large poo:large",
"Feed","2026-03-18 06:46",,,"Formula","Bottle","3oz",
"Diaper","2026-03-18 03:27",,,,,"Pee:medium",
"Feed","2026-03-18 03:00",,,"Formula","Bottle","3.75oz",
"Feed","2026-03-17 21:40",,,"Formula","Bottle","3oz",
"Meds","2026-03-17 21:35",,,"0.3ml","Mylicon",,
"Diaper","2026-03-17 21:30",,,,,"Pee:large",
"Feed","2026-03-17 19:05",,,"Formula","Bottle","3oz",
"Diaper","2026-03-17 18:32",,,,,"Pee:large",
"Feed","2026-03-17 17:57",,,"Formula","Bottle","1oz",
"Feed","2026-03-17 16:40",,,"Formula","Bottle","1oz",
"Feed","2026-03-17 15:15",,,"Formula","Bottle","3oz",
"Meds","2026-03-17 15:00",,,"0.3ml","Mylicon",,
"Diaper","2026-03-17 13:57",,,,,"Pee:large",
"Feed","2026-03-17 12:00",,,"Formula","Bottle","4oz",
"Diaper","2026-03-17 09:54",,,,,"Pee:large",
"Meds","2026-03-17 09:15",,,"0.3ml","Mylicon",,
"Feed","2026-03-17 09:10",,,"Formula","Bottle","3.5oz",
"Diaper","2026-03-17 07:04",,"yellow","Loose",,"Poo:large",
"Diaper","2026-03-17 06:34",,,,,"Pee:medium",
"Feed","2026-03-17 06:30",,,"Formula","Bottle","3.5oz",
"Feed","2026-03-17 03:00",,,"Formula","Bottle","3oz",
"Diaper","2026-03-17 02:50",,,,,"Pee:medium",
"Feed","2026-03-16 21:58",,,"Formula","Bottle","3oz",
"Meds","2026-03-16 21:55",,,"0.3ml","Mylicon",,
"Diaper","2026-03-16 21:45",,,,,"Pee:large",
"Feed","2026-03-16 19:00",,,"Formula","Bottle","2oz",
"Diaper","2026-03-16 18:02",,,,,"Pee",
"Feed","2026-03-16 18:00",,,"Formula","Bottle","3oz",
"Feed","2026-03-16 16:00",,,"Formula","Bottle","1oz",
"Meds","2026-03-16 15:08",,,"0.3ml","Mylicon",,
"Diaper","2026-03-16 15:03",,,,,"Pee:large",
"Feed","2026-03-16 15:00",,,"Formula","Bottle","3oz",
"Feed","2026-03-16 11:50",,,"Formula","Bottle","3oz",
"Diaper","2026-03-16 09:29",,"yellow","Loose",,"Poo:large",
"Feed","2026-03-16 09:15",,,"Formula","Bottle","1oz",
"Feed","2026-03-16 08:49",,,"Formula","Bottle","2.5oz",
"Meds","2026-03-16 08:43",,,"0.3ml","Mylicon",,
"Diaper","2026-03-16 08:42",,,,,"Pee:large",
"Feed","2026-03-16 05:50",,,"Formula","Bottle","3oz",
"Diaper","2026-03-16 02:52",,,,,"Pee",
"Feed","2026-03-16 02:29",,,"Formula","Bottle","2.5oz",
"Feed","2026-03-15 22:05",,,"Formula","Bottle","2.5oz",
"Meds","2026-03-15 22:00",,,"0.3ml","Mylicon",,
"Diaper","2026-03-15 21:50",,,,,"Pee:large",
"Feed","2026-03-15 19:54",,,"Formula","Bottle","1oz",
"Diaper","2026-03-15 19:15",,,,,"Pee:large",
"Feed","2026-03-15 18:49",,,"Formula","Bottle","2oz",
"Feed","2026-03-15 18:03",,,"Formula","Bottle","3.75oz",
"Diaper","2026-03-15 16:22",,,,,"Pee:medium",
"Feed","2026-03-15 15:00",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-15 14:10",,,,,"Pee:large",
"Feed","2026-03-15 11:51",,,"Formula","Bottle","3.5oz",
"Diaper","2026-03-15 09:43",,"yellow","Loose",,"Poo:medium",
